,city,lat,lon,CCM
1,St Malo,48.649518,-2.0260409,0.946
33,La Rochelle,46.1591126,-1.1520434,0.942
0,Mont Saint Michel,48.6359541,-1.511459954959514,0.937
3,Le Havre,49.4938975,0.1079732,0.93
19,Cassis,43.2140359,5.5396318,0.918
26,Saintes Maries de la mer,43.4515922,4.4277202,0.918
20,Marseille,43.2961743,5.3699525,0.918
32,Bayonne,43.4945144,-1.4736657,0.918
31,Biarritz,43.47114375,-1.552726590666314,0.915
25,Aigues Mortes,43.5661521,4.19154,0.915
2,Bayeux,49.2764624,-0.7024738,0.9
18,Bormes les Mimosas,43.1506968,6.3419285,0.874
17,Gorges du Verdon,43.7496562,6.3285616,0.861
7,Lille,50.6365654,3.0635282,0.848
12,Besancon,47.2380222,6.0243622,0.843
4,Rouen,49.4404591,1.0939658,0.841
8,Strasbourg,48.584614,7.7507127,0.836
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,0.834
13,Dijon,47.3215806,5.0414701,0.833
6,Amiens,49.8941708,2.2956951,0.829
5,Paris,48.8588897,2.3200410217200766,0.823
10,Colmar,48.0777517,7.3579641,0.815
11,Eguisheim,48.0447968,7.3079618,0.81
27,Collioure,42.52505,3.0831554,0.772
14,Annecy,45.8992348,6.1288847,0.757
21,Aix en Provence,43.5298424,5.4474738,0.745
16,Lyon,45.7578137,4.8320114,0.73
28,Carcassonne,43.2130358,2.3491069,0.712
15,Grenoble,45.1875602,5.7357819,0.679
23,Uzes,44.0121279,4.4196718,0.653
24,Nimes,43.8374249,4.3600687,0.645
29,Toulouse,43.6044622,1.4442469,0.638
30,Montauban,44.0175835,1.3549991,0.624
22,Avignon,43.9492493,4.8059012,0.609
