,name,url,score,description,city,latitude,longitude
0,Mama Shelter Toulouse,https://www.booking.com/hotel/fr/mama-shelter-toulouse.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF90b3Vsb3VzZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCj83QuAbAAgHSAiRjOTQ0NTQxYi0yYmJmLTQ5NDAtOTU3Yi1kZTZiZjZhYzZiZDnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=42a3980772750259&srepoch=1729373840&from=searchresults,8.6,"Mama Shelter Toulouse provides rooms in Toulouse, 2.2 km from Toulouse Expo, 2.8 km from Toulouse Stadium and 3.3 km from Zénith de Toulouse. ",Toulouse,43.605414,1.449934
1,Sur le quai,https://www.booking.com/hotel/fr/sur-le-quai-courtaboeuf-cedex.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gClM3QuAbAAgHSAiQ3Mjc3ZDg3My05YjgxLTQ0NWItODVkYS05YmUwZDJiM2E0MDfYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=c826980ab39500d2&srepoch=1729373845&from=searchresults,9.7,"Located in Carcassonne, sur le quai has a garden with a seasonal outdoor swimming pool and a communal terrace with a panoramic view of the medieval city walls. ",Carcassonne,43.20933921,2.35571296
2,Hotel Villa Koegui Biarritz,https://www.booking.com/hotel/fr/7b.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iaWFycml0ekgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCmM3QuAbAAgHSAiQ2YzFiNzc3Zi1iZjEyLTRhYmYtYTFiZC03YzgwNzQ1NjgzNzTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ca84980c9180007d&srepoch=1729373849&from_sustainable_property_sr=1&from=searchresults,8.8,"Hotel Villa Koegui Biarritz is a design hotel located in the heart of Biarritz, just a 5 minute-walk from the beach, the local market and several underground car parlks. ",Biarritz,43.48070865,
3,"LA VILLA DIANE, Maison d'hôtes, Bed and Breakfast",https://www.booking.com/hotel/fr/la-villa-diane-montauban.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tb250YXViYW5IM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApnN0LgGwAIB0gIkMzViYjc3YzEtYWI0Ny00YmNlLTkxMzgtYmFjYjk3MmQ4ZWQ32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5f36980c3276027d&srepoch=1729373850&from=searchresults,9.6,"Set in Montauban, LA VILLA DIANE, Maison d'hôtes, Bed and Breakfast offers accommodation with private pool, free WiFi and free private parking for guests who drive. ",Montauban,43.976012,1.3707879
4,"Rêves de vie, studio Port Miou perle rare à Cassis",https://www.booking.com/hotel/fr/reves-de-vie.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AprN0LgGwAIB0gIkODUyNmExMzktYjg1Zi00MmIxLWE5NDctNWNhODk1OTk5YjFh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e751980dc001003e&srepoch=1729373851&from=searchresults,9.4,"Situated in Cassis and only 19 km from Orange Velodrome Stadium, Rêves de vie, studio Port Miou perle rare à Cassis features accommodation with mountain views, free WiFi and free private parking. ",Cassis,43.22728569,5.53310176
5,MiHotel Tour Rose,https://www.booking.com/hotel/fr/mihotel-tour-rose.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSDNYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKazdC4BsACAdICJGYxYjdmNDQ2LWVmZmItNGQ5Ni04ODcyLTk2ZDY4N2RiMWIzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=551f980d5aba0370&srepoch=1729373851&from_sustainable_property_sr=1&from=searchresults,8.3,"Set in Lyon, 700 metres from Basilica of Notre-Dame de Fourviere, MiHotel Tour Rose offers express check-in and check-out and free WiFi. ",Lyon,45.762725,4.82682
6,Citadines Presqu'île Lyon,https://www.booking.com/hotel/fr/citadines-aparthotel-lyon-presqu-ile.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSDNYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKazdC4BsACAdICJGYxYjdmNDQ2LWVmZmItNGQ5Ni04ODcyLTk2ZDY4N2RiMWIzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=551f980d5aba0370&srepoch=1729373851&from_sustainable_property_sr=1&from=searchresults,8.4,"Citadines Presqu'île Lyon is located in the centre of Lyon, between the Rhône and Saône Rivers in the heart of the Presqu'île district. ",Lyon,45.76158736,4.83262651
7,B&B HOTEL Marseille Prado Vélodrome,https://www.booking.com/hotel/fr/b-amp-b-marseille-velodrome-prado.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApvN0LgGwAIB0gIkYjUwM2RmYzctODRhMS00ZTFhLTg5ZDAtYTY2MjhlNWI5ZDRj2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=adca980dc6f600ee&srepoch=1729373852&from_sustainable_property_sr=1&from=searchresults,7.9,,Marseille,43.26842246,5.39409652
8,Hôtel Le Médiéval,https://www.booking.com/hotel/fr/le-medieval.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEJuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKczdC4BsACAdICJDUwZDM5Mzg0LTFiOTQtNDMxYi04NTM3LTA3NGMxODQ2MTdhZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0998980e86ea0151&srepoch=1729373853&from_sustainable_property_sr=1&from=searchresults,8.7,"Le Médiéval is located on the banks of the canal in Aigues-Mortes, 30 km from Montpellier. It offers en suite rooms, free parking and an outdoor swimming pool. ",Aigues Mortes,43.57186625,4.19366169
9,Maison Albar Hotels L’Imperator,https://www.booking.com/hotel/fr/imperator-nimes.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9uaW1lc0gzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCnM3QuAbAAgHSAiRkOTcwZjdhYy00NTA2LTRhZmQtYjBjYy1hNjVhYzdhMWQwMDDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b32a980ebd4302e5&srepoch=1729373853&from_sustainable_property_sr=1&from=searchresults,9.1,Maison Albar Hotels L’Imperator is a luxury hotel located in the city of Nimes. ,Nimes,43.83866613,4.35276791
